Дієго Марадона
Ліонель Мессі
Йоган Кройф
Марко Ройс
Карім Бензема
Віктор Циганков
Андрій Шевченко
Кріштіану Роналду
Джанлуїджі Буффон
Роберто Баджо
Алессандро Дель П'єро
Паоло Мальдіні
Фабіо Каннаваро
Зінедін Зідан
Патрік Вієйра
Еммануель Петі
Маттіас Заммер
Ларс Ріккен
Єнс Леманн
Томаш Росицький
Бастіан Швайнштайгер
Матс Гуммельс
Доніелл Мален
Лукас Ернандес
Лукас Ернандес
Жуан Канселу
Жуан Фелікс
Луїш Фігу
Гаррі Кейн
Хав'єр Ернандес
Тоні Кроос
Лука Модрич
Джуд Беллінгем
Юліан Брандт
Эмре Джан
Тома Меньє
Данієль Карвахаль
Кайл Вокер
Кіран Тріпп'єр
Антуан Грізманн
Філіпп Лам
Карлес Пуйоль
Ніко Шлоттербек
Ніклас Зюле
Руслан Маліновський
Михайло Мудрик
Себастьян Алле
Давід Жинола
Наката Хідетосі
Франческо Тотті
Едсон Арантіс ду Насіменту(Пеле)
